"UIC","Gare","","Lundi","Mardi","Mercredi","Jeudi","Vendredi","Samedi","Dimanche_jours_feries ","","","","","","","","","",""
"313759","ABANCOURT","","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 21h45","6h00 - 21h45","7h00 - 21h45","","","","","","","","","",""
"317362","ABBEVILLE","","5h00 - 21h30","5h00 - 21h30","5h00 - 21h30","5h00 - 21h30","5h00 - 21h30","5h30 - 21h30","7h50 - 21h30","","","","","","","","","",""
"313221","AILLY-SUR-NOYE","","6h00 - 9h00","-","-","6h00 - 9h00","6h00 - 9h00","-","-","","","","","","","","","",""
"313098","AILLY-SUR-SOMME","","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","-","-","","","","","","","","","",""
"313072","ALBERT","","6h00 - 13h15 / 13h40 - 20h55","6h00 - 13h15 / 13h40 - 20h55","6h00 - 13h15 / 13h40 - 20h55","6h00 - 13h15 / 13h40 - 20h55","6h00 - 13h15 / 13h40 - 20h55","8h45 - 11h30 / 12h45 - 17h15","13h25 - 20h40","","","","","","","","","",""
"313874","AMIENS","","4h00 - 0h20","4h00 - 0h20","4h00 - 0h20","4h00 - 0h20","4h00 - 0h20","4h00 - 0h20","5h00 - 0h20","","","","","","","","","",""
"296566","ANIZY-PINON","","6h35 - 13h50","6h35 - 13h50","6h35 - 13h50","6h35 - 13h50","6h35 - 13h50","-","-","","","","","","","","","",""
"286146","ARMENTIERES","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","8h00 - 20h00","10h00 - 19h00","","","","","","","","","",""
"342014","ARRAS","","5h25 - 23h30","5h25 - 23h30","5h25 - 23h30","5h25 - 23h30","5h25 - 23h30","6h25 - 23h25","7h30 - 22h55","","","","","","","","","",""
"286864","ASCQ","","-","9h30 - 12h00 / 14h00 - 18h30","9h30 - 12h00 / 14h00 - 18h30","9h30 - 12h00 / 14h00 - 18h30","9h30 - 12h00 / 14h00 - 18h30","9h30 - 12h00 / 14h00 - 18h30","-","","","","","","","","","",""
"281428","AUDRUICQ","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"295600","AULNOYE-AYMERIES","","4h50 - 22h20","4h50 - 22h20","4h50 - 22h20","4h50 - 22h20","4h50 - 22h20","6h30 - 21h30","8h35 - 22h10","","","","","","","","","",""
"295733","AVESNES","","7h00 - 12h00 / 14h00 - 16h00","7h00 - 12h00 / 14h00 - 16h00","7h00 - 12h00 / 14h00 - 16h00","7h00 - 12h00 / 14h00 - 16h00","7h00 - 12h00 / 14h00 - 16h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"342584","AVION","","6h30 - 10h30","6h30 - 10h30","6h30 - 10h30","6h30 - 10h30","6h30 - 10h30","-","-","","","","","","","","","",""
"286179","BAILLEUL","","6h00 - 13h00 / 14h00 - 19h00","6h00 - 13h00 / 14h00 - 19h00","6h00 - 13h00, / 14h00 - 19h00","6h00 - 13h00 / 14h00 - 19h00","6h00 - 13h00 / 14h00 - 19h00","9h00 - 13h00 / 14h00 - 17h00","15h00 - 19h00","","","","","","","","","",""
"286872","BAISIEUX","","7h30 - 14h30","7h30 - 14h30","7h30 - 14h30","7h30 - 14h30","7h30 - 14h30","-","-","","","","","","","","","",""
"313510","BEAUVAIS","","4h50 - 22h30","4h50 - 22h30","4h50 - 22h30","4h50 - 22h30","4h50 - 22h30","4h55 - 23h30","6h10 - 23h30","","","","","","","","","",""
"281105","BERGUES","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"342006","BETHUNE","","5h00 - 22h10","5h00 - 22h10","5h00 - 22h10","5h00 - 22h10","5h00 - 22h10","5h40 - 21h55","7h40 - 21h55","","","","","","","","","",""
