CODE_UIC,LIBELLE,,VOYAGEURS,COMMUNE,DEPARTEMEN,IDRESEAU,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Gare,Typologie_de_la_gare,Segmentation_marketing,satisfaction_global,orientation_client,bien_etre_en_gare,confort_attente
87009696,La Douzillère,,O,JOUE-LES-TOURS,INDRE-ET-LOIRE,4650,522803.98640000075,6695781.5896000005,0.653001386682489,47.33866140621093,47.33866140621093, 0.6530013866824887,Gares A,,Tous,7.7,8.34,8.33,7.85
87142554,Châtillon-sur-Seine,,N,SAINTE-COLOMBE-SUR-SEINE,COTE-D'OR,9201,815990.5833000019,6753362.917800002,4.551565119152175,47.87040423667916,47.87040423667916, 4.551565119152175,Gares A - 36 gares,,Tous,7.59,8.16,8.14,7.66
87382218,La Défense,,O,PUTEAUX,HAUTS-DE-SEINE,4648,644164.1872999966,6866205.721500002,2.238471684534599,48.89343723770491,48.89343723770491, 2.2384716845345993,Gares A - 24 gares,,Tous,7.48,8.03,8,7.47
87718122,Byans,,O,BYANS-SUR-DOUBS,DOUBS,3446,916198.4419,6672578.780099999,5.852088069196292,47.11832925172662,47.11832925172662, 5.852088069196292,Gares A - HUB,,Hub,7.52,8.02,7.98,7.53
87721829,Chamelet,,O,CHAMELET,RHONE,3578,816664.1966999993,6543551.646000002,4.507016244543598,45.98167025804158,45.98167025804158, 4.507016244543598,Gares A - LGV,,LGV,7.92,8.65,8.84,8.15
87471060,L'Hermitage-Mordelles,,O,L'HERMITAGE,ILLE-ET-VILAINE,8893,341644.2468999997,6791268.489999998,-1.81921151526776,48.123335774611554,48.123335774611554, -1.8192115152677604,Gares A - Ville,,Ville,7.71,8.38,8.31,7.89
87174003,Châlons-en-Champagne,,O,CHALONS-EN-CHAMPAGNE,MARNE,3563,798787.0291000009,6873657.124400001,4.348974315249643,48.95527794985203,48.95527794985203, 4.348974315249643,Gares A - TGV Inoui,,Tous,7.77,8.49,8.47,7.83
87213686,Hoerdt,,O,HRDT,BAS-RHIN,4455,1051527.873800002,6855415.366999999,7.7797685201344,48.70309760982452,48.70309760982452, 7.7797685201344,Gares A - OUIGO,,Tous,7.45,8.22,8.23,7.68
87696633,Flez-Cuzy-Tannay,,O,TANNAY,NIEVRE,8262,746427.3461000025,6696034.3434999995,3.615134800485459,47.363016895951745,47.363016895951745, 3.615134800485459,Gares A - TER,,Tous,7.75,8.3,8.45,7.83
87342360,Aire-sur-la-Lys,,N,AIRE-SUR-LA-LYS,PAS-DE-CALAIS,2824,657905.9632000029,7060642.339499999,2.405933102461811,50.64130516051258,50.64130516051258, 2.4059331024618107,Gares A - Transilien,,Tous,7.35,7.72,7.88,7.43
87581868,Bassens-Appontements,,N,LORMONT,GIRONDE,87076,421280.31639999896,6426854.324299999,-0.530996594037636,44.88477639840179,44.88477639840179, -0.5309965940376361,Gares A - INTERCITES,,Tous,7.45,8.22,8.23,7.68
87473181,Plouaret-Trégor,,O,LE VIEUX-MARCHE,COTES-D'ARMOR,6025,224408.06059999764,6853469.3224,-3.457983953556017,48.606290948971115,48.606290948971115, -3.4579839535560173,Gares A - Eurostar,,Tous,7.51,8.24,8.05,7.26
87582684,Cadaujac,,O,CADAUJAC,GIRONDE,3448,420073.2644999996,6412144.2326,-0.537923689084897,44.75198423836627,44.75198423836627, -0.5379236890848973,Gares A - Autres trains internationaux,,Tous,7.49,8,8.39,7.91
87276006,Creil,,O,CREIL,OISE,3875,661368.4228999987,6907317.141899999,2.469338512801428,49.26433696531956,49.26433696531956, 2.469338512801428,Toutes gares (gares A),,Tous,7.38,7.98,7.98,7.34
87396275,Champagné,,O,CHAMPAGNE,SARTHE,3590,501435.1863999963,6772195.085099999,0.336034717275254,48.01999207493511,48.01999207493511, 0.33603471727525364,Gares A - HUB,,Hub,7.32,7.77,7.82,7.23
87471029,Vern,,O,VERN-SUR-SEICHE,ILLE-ET-VILAINE,7152,357685.4151000008,6781809.9761000015,-1.596590935217561,48.04697466541346,48.04697466541346, -1.5965909352175605,Gares A - LGV,,LGV,7.46,8.27,8.19,7.46
87545210,Ste-Geneviève-des-Bois,,O,SAINTE-GENEVIEVE-DES-BOIS,ESSONNE,6712,649273.4893999994,6839327.0951000005,2.311349268650718,48.652126468780416,48.652126468780416, 2.311349268650718,Gares A - Ville,,Ville,7.51,8.36,8.3,7.7
87213058,Haguenau,,O,SCHWEIGHOUSE-SUR-MODER,BAS-RHIN,4398,1047909.7566,6869215.603799999,7.741946133955294,48.828951234919714,48.828951234919714, 7.7419461339552935,6 Grandes Gares Parisiennes,,Tous,7.32,7.77,7.82,7.23
87393306,Issy-Val-de-Seine,,O,ISSY-LES-MOULINEAUX,HAUTS-DE-SEINE,4504,645900.4253999963,6859046.7315,2.263061548452739,48.829206272653394,48.829206272653394, 2.263061548452739,Toutes gares (gares A),,Tous,7.44,7.96,7.93,7.35
87775114,Vergèze-Codognan,,O,VERGEZE,GARD,7149,798222.9742999971,6294175.457699999,4.219113329716423,43.73977946287461,43.73977946287461, 4.219113329716423,AEROPORT CDG2 TGV,Gare A - 24,LGV,7.34,8.27,8.13,7.1
87725457,Champlan,,O,CHAMPLAN,ESSONNE,10334002,646973.8198999986,6845703.266899999,2.279341221911651,48.709290647180765,48.709290647180765, 2.2793412219116513,GARE DU NORD (Gare A),Gare A - 24,Hub,6.97,7.75,7.24,6.66
87193656,Wittring,,O,WITTRING,MOSELLE,7363,1002526.1579999998,6891944.102400001,7.140819812049893,49.055958481804154,49.055958481804154, 7.140819812049893,MARNE LA VALLEE CHESSY,Gare A - 24,LGV,7.78,8.19,8.32,7.73
87212167,Hochfelden,,O,HOCHFELDEN,BAS-RHIN,4453,1035942.1111999974,6860287.463799998,7.572162441093835,48.755137916528135,48.755137916528135, 7.572162441093835,PARIS GARE DE L'EST,Gare A - 24,Hub,7.47,7.93,7.97,7.61
87313080,St-Roch (Somme),,O,AMIENS,SOMME,6660,648472.6356000006,6977392.684300002,2.283469712395204,49.893141071352986,49.893141071352986, 2.2834697123952035,PARIS ST LAZARE,Gare A - 24,Hub,7.62,7.67,8,7.66
87681825,Villeneuve-St-Georges,,O,VILLENEUVE-SAINT-GEORGES,VAL-DE-MARNE,7254,659281.5107000023,6848066.1644,2.446378941339316,48.73143575163359,48.73143575163359, 2.446378941339316,Toutes gares (gares A),,Tous,7.32,8,8.03,7.33
87118786,Chavanges,,N,CHAVANGES,AUBE,8332,817145.3509000018,6824295.178199999,4.586064025145335,48.5083156467384,48.5083156467384, 4.586064025145335,MASSY TGV,Gare A - 24,LGV,7.26,8.35,8.13,7.54
87213231,Reichshoffen-Usines,,N,REICHSHOFFEN,BAS-RHIN,6216,1040757.7840000018,6878868.746800002,7.652436617456791,48.91943284002208,48.91943284002208, 7.652436617456791,PARIS AUSTERLITZ (SURFACE),Gare A - 24,Hub,6.53,7.48,7.62,6.71
87613356,Caussade,,O,CAUSSADE,TARN-ET-GARONNE,3518,582680.9682999998,6341342.961300001,1.533047244838831,44.16128580816961,44.16128580816961, 1.5330472448388313,PARIS BERCY,Gare A - 24,Ville,7.51,8.36,8.3,7.7
87745000,Bellegarde,,O,VALSERHONE,AIN,3164,918201.6881000027,6560651.418299999,5.825676729983513,46.11051692198756,46.11051692198756, 5.825676729983513,PARIS GARE DE LYON (SURFACE),Gare A - 24,Hub,7.46,7.77,7.84,7.2
87317164,Montreuil-sur-Mer,,O,MONTREUIL,PAS-DE-CALAIS,5653,612474.6860999987,7041675.921,1.769017904748211,50.46637341957389,50.46637341957389, 1.769017904748211,PARIS MONTPARNASSE,Gare A - 24,Hub,7.84,8.04,8.24,7.51
87394015,Lucé,,O,LUCE,EURE-ET-LOIR,72286,585584.9280999973,6816279.539900001,1.453018308838864,48.43670752102672,48.43670752102672, 1.4530183088388635,Toutes gares (gares A + gares B),,Tous,7.75,8.43,8.42,8
87381178,Us,,O,US,VAL-D'OISE,7060,624821.3704999983,6889351.0286,1.970571442485532,49.099575309029696,49.099575309029696, 1.9705714424855318,Toutes gares (gares A),,Tous,7.79,8.4,8.45,8.01
87574400,Fossé-Marolles,,N,MAROLLES,LOIR-ET-CHER,4205,571810.4042000026,6727793.0370000005,1.292695956899221,47.63804811648232,47.63804811648232, 1.2926959568992205,Gares A - HUB,,Hub,7.44,8.11,8.09,7.65
87212464,Lauterbourg,,O,LAUTERBOURG,BAS-RHIN,4882,1079186.4717999995,6886583.8849,8.182587532363396,48.96716996582567,48.96716996582567, 8.182587532363396,Gares A - LGV,,LGV,8.04,8.77,9.03,8.4
87595264,St-Léon-sur-l'Isle,,O,SAINT-LEON-SUR-L'ISLE,DORDOGNE,6546,502870.0549999997,6450238.4256,0.492393736576139,45.123254805200325,45.123254805200325, 0.49239373657613866,Gares A - Ville,,Ville,7.76,8.26,8.15,7.89
87715151,Ste-Colombe,,O,SAINTE-COLOMBE,DOUBS,9576,948664.9231999964,6647257.68,6.266118394080583,46.87920222190296,46.87920222190296, 6.266118394080583,Toutes gares (gares A),,Tous,7.83,8.34,8.34,8
87141036,Foug,,O,FOUG,MEURTHE-ET-MOSELLE,4208,905447.5261999965,6845750.3882,5.791096876217142,48.67922863357788,48.67922863357788, 5.791096876217142,Toutes gares (gares A),,Tous,8.34,8.55,8.6,8.32
87746727,Vaudagne,,O,LES HOUCHES,HAUTE-SAVOIE,7112,992354.2990999967,6541335.241500001,6.772718953597742,45.9088333354493,45.9088333354493, 6.7727189535977415,Toutes gares (gares A),,Tous,7.81,8.48,8.5,8.03
87345215,Sallaumines,,O,SALLAUMINES,PAS-DE-CALAIS,6734,689559.7692999989,7035567.488499999,2.853313364463135,50.41757686621085,50.41757686621085, 2.8533133644631348,Toutes gares (gares A),,Tous,7.56,8.27,8.4,7.92
87297085,La Bouteille,,O,LA BOUTEILLE,AISNE,4602,770718.8958000019,6973924.562100001,3.982780234602766,49.860132006253636,49.860132006253636, 3.982780234602766,AIX LES BAINS LE REVARD,Gare B,Ville,-,-,-,-
87381418,Éragny-Neuville,,O,ERAGNY,VAL-D'OISE,4065,633489.0270000026,6880179.843899999,2.090693441119665,49.01807541544188,49.01807541544188, 2.090693441119665,AMBERIEU,Gare B,Ville,-,-,-,-
87592162,Bugeat,,O,BUGEAT,CORREZE,3434,616178.1601999998,6500698.822299998,1.924701307116646,45.600671390919544,45.600671390919544, 1.9247013071166457,ANNECY,Gare A,Ville,7.68,8.58,7.87,7.77
87673400,Biarritz,,O,BIARRITZ,PYRENEES-ATLANTIQUES,3225,332068.1982000023,6272811.378199998,-1.546701196505992,43.45903906706433,43.45903906706433, -1.5467011965059916,ANNEMASSE,Gare B,Ville,-,-,-,-
87741132,Aix-les-Bains-Le Revard,,O,AIX-LES-BAINS,SAVOIE,2831,926353.1739000008,6514008.3451999985,5.908901294915313,45.688112428031324,45.688112428031324, 5.908901294915313,BEAUNE,Gare B,Ville,-,-,-,-
